InvcNum,DueDate,ShipToName
100580,11/24/2017,"The Laurels of Pender - Burgaw, NC"
100870,11/15/2017,"WEN#11682 - Randolph Twp, NJ"
101374,11/24/2017,"The Courtyards at Bradford Court - Powell, OH"
101465S,11/3/2017,West Jefferson Township
101510,11/17/2017,"Wendy's 05243 Fort Wright, KY"
101881,11/17/2017,"WEN #01778  Orange Park, FL"
101881-1,11/17/2017,"WEN #01778  Orange Park, FL"
101881-2,11/17/2017,"WEN #01778  Orange Park, FL"
102016,12/11/2017,"WEN #12029  Streetsboro, OH"
102113,11/3/2017,"Kiddie Academy of East Setauket - East Setauket, NY"
102151,1/12/2018,"WEN #11975 Gastonia, NC"
102329,1/12/2018,"WEN #12037 Morganton, NC"
102367,11/20/2017,Yauger Monument
102422,12/15/2017,"WEN #11635  Deerfield Bch, FL"
102476-3,12/13/2017,"WEN #04713 Cutlerville, MI"
102481,11/10/2017,"Manna Inc./WEN 00935 Racine, WI"
102481-1,11/10/2017,"Manna Inc./ WEN 00935 Racine, WI"
102484,11/29/2017,"WEN #09583 Lumberton, NC"
102679,2/3/2018,Wendy's Site #01775
102714,11/17/2017,"WEN #00815 Vernon Hills, IL"
102720,11/1/2017,Grandview's Edge
102852,11/24/2017,"WEN#09597  Charlotte, NC"
102916-5,11/3/2017,"WEN #00700  Richmond, VA"
102917,11/3/2017,Pataskala Town Center
102947,11/10/2017,"WEN 12115 Grand Haven, MI"
103013,11/6/2017,"WEN #04209  Decatur, IN"
103014,11/3/2017,"WEN #04684 Cornelius, NC"
103015,11/7/2017,"WEN #08847  Palm Beach Gardens, FL"
103038,1/15/2018,"WEN #11773 Portsmouth, VA"
103038-1,1/15/2018,"WEN #11773 Portsmouth, VA"
103048-1,11/27/2017,"WEN #11932 Kissimmee, FL"
103048-2,11/27/2017,Wendy's
103060,11/10/2017,Professional Truck Washing Services
103068,1/29/2018,"WEN #06882  Edmonton, AB"
103090-1,11/22/2017,"WEN #10817 Riverton, WY"
103096,11/27/2017,Boyer/Lantern of Chagrin Valley
103117,12/1/2017,"WEN #03177  Northport, AL"
103140,11/3/2017,Extend a Suites
103197-2,11/8/2017,Wendy's Site #07810
103244-2,11/3/2017,"WEN #00234  Louisville, KY"
103291,1/15/2018,Wendy's 03243 Stillwater OK
103309,11/2/2017,Wendy's Site #11845
103320,11/20/2017,"WEN 00076 Sylvania, OH"
103329,11/15/2017,Red Roof Plus & Suites
103336,11/16/2017,"Kiddie Academy of New Market, MD"
103337,11/8/2017,"Wendy's #11859 Manorville, NY"
103351,11/8/2017,"WEN #00595  Davenport, FL"
103356,2/23/2018,Wendy's Site #11719
103357,11/15/2017,El Pedregal
103364,2/12/2018,"WEN #01762 Jacksonville, FL"
103368,11/16/2017,Simply Self Storage
103370,11/9/2017,Outdoor/The Lory of Braden Springs
103373-1,11/23/2017,"Wendy's 08391 Kokomo, IN"
103381,11/20/2017,"Martin Trucking Alexandria, OH"
103382,12/5/2017,"Midland Title West, LLC"
103390,11/13/2017,Steve Click
103401,11/14/2017,M and B Contracting
103404,11/14/2017,Iguanas Fresh Mexican Grill
103405,11/14/2017,"WEN #01517  McMinnville, OR"
103406,11/14/2017,"WEN #01825  Wilsonville, OR"
103408,11/7/2017,"WEN #00450  Naples, FL"
103410,11/20/2017,"Kiddie Academy of Center Valley, PA"
103412,11/7/2017,MUY Hamburgers / Attn JR
103416,11/10/2017,"WEN #05544  Onley, VA"
103418,11/10/2017,Valleyview NewLife Church
103419,11/8/2017,"WEN #03097  Cape Girardeau, MO"
103444,11/20/2017,Best Restaurant Equipment
103445,11/20/2017,Best Restaurant Equipment
103448,11/6/2017,"WEN #06736  Mount Pearl, NF"
103449,11/20/2017,"WEN #08659  Cedar Springs, MI"
103450,11/20/2017,"WEN #01035  Columbus, OH"
103451,11/29/2017,"WEN #02734  Portage, MI"
103455,11/14/2017,"WEN #08564  Lehigh Acres, FL"
103456,11/20/2017,JG Signs/Bruns Bldg.- St. Henry OH
103461,11/20/2017,Persona
103465,11/21/2017,The Woods at Hayden Run
103467,12/4/2017,Simply Self Storage
103469,11/7/2017,Marion Sign/Park Point Med.
103471,11/22/2017,"Wendy's 04212 Manchester, TN"
103471-1,11/6/2017,Wendy's 04212 Manchester TN
103472,11/22/2017,Double Double Inc.
103473,11/22/2017,Wendy's 05222 Murfreesboro TN
103473-1,11/6/2017,Wendy's 05222
103474,11/17/2017,"Wendy's 07928 Whitehouse, TN"
103478,11/22/2017,"WEN #00583  Ft. Myers, FL"
103479,11/15/2017,"WEN #02524  Port Charlotte, FL"
103482,11/17/2017,"Wendy's 04730 Punta Gorda, FL"
103483,11/1/2017,Taco Bell
103485,11/8/2017,WEN #06320/Sparkle Ventures
103488,11/22/2017,Boyer Signs/Great Scott Tvn- Euclid OH
103493,11/24/2017,"WEN #12035  Lawrenceburg, TN"
103494,11/3/2017,"WEN #08897  Martinez, GA"
103495,11/10/2017,"WEN #06650 Kitchener, ON"
103498,11/27/2017,"WEN #06670  Kitchener, ON"
103499,11/28/2017,"WEN #06003  Kitchener, ON"
103500,11/9/2017,"WEN #01754  Daytona Beach, FL"
103501,11/28/2017,Red Roof Plus
103503,11/8/2017,Persona
103503-1,11/22/2017,Persona
103506,11/24/2017,"WEN #00972  Richmond, VA"
103507,12/10/2017,Garry Crowe
103509,11/13/2017,Simply Self Storage
103512,11/17/2017,"WEN #09177 Commerce TWP., MI"
103514,11/27/2017,Boyer Signs/Burnett Plaza
103519,11/1/2017,"WEN #07920  Slidell, LA"
103520,11/27/2017,"WEN #06489  Waterloo, ON"
103523,11/27/2017,"Hilltop Plaza Richmond Heights, OH"
103524,11/27/2017,"WEN #08813 Pueblo W., CO"
103526,11/7/2017,"The Laurels of Chagrin Falls, OH"
103528,11/30/2017,"WEN #11981 Lawrenceceville, GA"
103534,11/28/2017,"Dairy Shed 2 & Ramrods Pizza Kingston, OH"
103545,11/30/2017,Boyer Signs/Michael's Diner
103546,11/16/2017,"Carolina Restaurant Group, Inc."
103547,11/30/2017,"WEN #06401  Scarborough, ON"
