InvcNum,DueDate,ShipToName
1020-2,10/3/2017,"Cummings Resources, LLC / 7-11 #7112141"
1030-1,10/8/2017,"Cummings Resources, LLC / 7-11 #26801"
1036-3,10/23/2017,Pattison Sign Group (Toronto) / Auto Nation Toyota
1085-1,9/18/2017,"Custom Sign Center, Inc. / Wendy's #01778"
1088-2,9/19/2017,Southwest Signs / Famous Footwear #3596
1131,9/22/2017,Custom Sign Center / Wendy's (Shan's / G'Ville)
1135,9/26/2017,MC/T-Mobile
1146-1,10/13/2017,BMA/Dd's Discounts #5065
1155,9/29/2017,Custom Sign Center / Wendy's #08847
1155-1,9/29/2017,Custom Sign Center / Wendy's #08847
1157,11/3/2017,Pattison Sign Group (Toronto)
1162,9/19/2017,Pattision Sign Group / Toyota of Orlando
